-1, -1, -1
77, 68, 100
87, 78, 110
63, 54, 86
46, 54, 100
55, 60, 102
37, 48, 94
98, 89, 121
67, 58, 90
120, 86, 44
120, 70, 42
120, 44, 55
65, 56, 88
105, 96, 128
92, 83, 115
76, 67, 100
79, 69, 103
70, 61, 94
73, 64, 97
75, 65, 99
66, 57, 90
57, 48, 80
53, 44, 77
71, 62, 96
100, 91, 123
66, 57, 90
63, 54, 86
63, 54, 88
83, 74, 106
97, 88, 120
56, 83, 128
51, 82, 128
47, 80, 127
23, 34, 47
25, 54, 48
25, 42, 48
45, 36, 68
57, 59, 97
37, 10, 91
48, 9, 128
42, 11, 107
86, 36, 60
87, 46, 71
81, 27, 50
47, 40, 42
68, 60, 42
57, 49, 42
50, 36, 63
49, 40, 72
22, 17, 52
48, 58, 104
33, 41, 86
67, 85, 126
83, 89, 126
41, 66, 110
22, 20, 46
26, 60, 49
51, 57, 97
29, 17, 46
120, 95, 77
24, 13, 52
53, 19, 127
29, 14, 46
94, 53, 78
29, 19, 46
77, 69, 52
40, 31, 64
32, 23, 55
45, 36, 68
120, 101, 102
37, 28, 61
25, 16, 49
27, 18, 51
22, 13, 46
120, 104, 116
120, 108, 131
120, 62, 57
120, 111, 144
61, 61, 126
78, 74, 127
82, 78, 126
97, 92, 136
